,도시,DATE,SO2,CO,O3,NO2,PM10
1220,대구,2019-01-01,0.0044317652247894,0.6670931042042838,0.017022018375563,0.0295288003391968,57.8179388408388
1221,대구,2019-02-01,0.0035108992859766,0.6385928715413417,0.023505544271503,0.0260202452199944,54.30442520031796
1222,대구,2019-03-01,0.0031071274138925,0.5049038716190354,0.0350089358071977,0.0222472316254167,54.58670999865178
1223,대구,2019-04-01,0.0029016289356181,0.4106207904953741,0.0349377473252096,0.0179606552872231,41.04819391112649
1224,대구,2019-05-01,0.0029010558462303,0.3777638979340048,0.0465968278065465,0.0168080882007528,46.58412252102139
1225,대구,2019-06-01,0.0024437898020189,0.3938365296263983,0.0421778132469918,0.0137831302655387,33.53887097927633
1226,대구,2019-07-01,0.0022622534465497,0.3137156335981118,0.0293285636784572,0.0124565226667758,28.228022591941613
1227,대구,2019-08-01,0.0028380853424531,0.357236074680614,0.0292553130817517,0.0137599136073282,30.025332783394685
1228,대구,2019-09-01,0.0025087810437519,0.362137245153007,0.0247379144416982,0.0146333180366666,27.381455207444485
1229,대구,2019-10-01,0.0023324640128399,0.380730297893934,0.0217101279220341,0.0183265108447398,28.39354793894068
1230,대구,2019-11-01,0.0031034545548363,0.5544455906361118,0.0165772728977711,0.0263008698247919,41.33454838335975
1231,대구,2019-12-01,0.0038048934237674,0.6955130117760664,0.0145010170512598,0.0298841020481877,42.45068722778621
1232,대구,2020-01-01,0.0036617439180495,0.7173788319918816,0.0181685851169032,0.0270243429287231,39.15920000570712
1233,대구,2020-02-01,0.0032986200052062,0.5930668473330262,0.0226831502672236,0.0238175092428114,39.278108605640455
1234,대구,2020-03-01,0.0030547315282711,0.4382530678019625,0.0295573812884693,0.0184672172967546,39.11906890358825
1235,대구,2020-04-01,0.0025345754367307,0.385058624333126,0.0392456793341621,0.0138443172766885,38.91491796483199
1236,대구,2020-05-01,0.0025149220447679,0.387918170689587,0.0392889034708031,0.0121927035518769,38.3323516999956
1237,대구,2020-06-01,0.0023927405635182,0.4011265648596649,0.0433046149427315,0.0138230016992215,36.00692700779572
1238,대구,2020-07-01,0.0022271395959095,0.3999964379515893,0.0262694950791572,0.0123650553036416,22.275331883344105
1239,대구,2020-08-01,0.0024829883879112,0.3501863542481739,0.0228935363570846,0.0111899137891062,28.432777001007825
1240,대구,2020-09-01,0.0023676458371266,0.3826474305825344,0.0271041617258331,0.0147009502841024,30.889046767957907
